	BM_1	BM_2	BM_3	BM_4	BM_5	BM_6	BM_WGS_6	BM_7	BM_WGS_7
ACB	6.913785883973831e-08	1.261785675283624e-08	4.2386582194049e-09	0.01146253213495132	1.2552377684014614e-11	5.732928713857431e-09	0.018945443067668506	1.0984196301832985e-10	1.4289006463073447e-10
ASW	8.471511242551014e-09	0.09309455236472045	3.856957283211008e-10	1.5165634043469512e-09	2.767400108976207e-12	8.269548717013018e-09	8.642218848014603e-10	1.3302919747379298e-10	1.4001309710853596e-10
ESN	8.51525507282678e-09	0.019682633522251386	0.001705469666894568	5.698418412539308e-09	1.883212069589974e-11	0.008609747443385269	2.9319378228792014e-10	1.3986453854723355e-10	6.105995382668292e-11
GWD	1.4000671511429625e-08	0.04227940799480137	5.073538888819655e-10	1.5523155763184292e-09	1.2213244570284631e-11	1.2525046645785965e-09	4.1786327509411894e-10	1.005769132930033e-10	1.4715296392395399e-10
LWK	1.3501351247354926e-08	0.6993925233051282	5.331913447716912e-09	3.6874066572362415e-07	1.2912501630387645e-11	0.019826020402435654	2.743532846053052e-10	0.015019825733610258	1.1719392257778112e-10
MSL	0.006120107347083629	0.10175240887031617	6.848914103874804e-10	2.472153524813235e-09	1.3491553515325667e-11	2.074780996240098e-09	4.3641241840149246e-10	1.606070426505903e-10	1.1975595710675887e-10
YRI	2.897308487957468e-08	0.012703005345414598	1.4834744605622657e-09	1.1868105632499569e-08	2.1539448166790646e-11	2.0232472859283653e-09	3.861253003757772e-10	1.3662458239610736e-10	1.16509666168165e-10
CLM	0.045910025870936226	2.9191103142836857e-10	2.807548944296553e-10	5.564122137736434e-10	6.104910670926329e-11	4.75462752333404e-10	2.8150414134744697e-10	0.006835525768168207	0.0303353227590454
MXL	1.0371595104118493e-08	4.923230557337819e-10	1.9372289627867867e-10	1.551975332073063e-10	1.2170656075210075e-10	2.0494535151629557e-10	5.021062610435846e-10	0.0023814435198051954	0.004700423881062251
PEL	8.288329915144624e-09	1.073074198004084e-10	1.000984203271983e-10	1.9110663379317236e-10	3.7265519966381224e-09	8.393811004000159e-11	1.2557834423911744e-10	0.02637019127670514	0.017048512900651416
PUR	3.8206903126533995e-08	1.0804096550797264e-09	2.851804823602026e-10	5.767259798435771e-10	1.3515537798887382e-11	5.38180303043623e-09	7.223637796067532e-09	0.03304683987709532	1.1375062855981955e-09
CDX	5.670999816292759e-10	1.2235246960458628e-10	0.5304911457205215	1.9892229142049637e-10	0.0866089969572953	1.2210674924004733e-10	8.683122902314129e-11	2.6304248420744947e-10	0.030484163673147827
CHB	7.40671420742139e-10	1.0646266239159339e-10	0.1327385881890765	2.2860705903177957e-10	0.41700687902089895	1.0439517600791169e-10	1.0365548970249197e-10	0.013961421845206835	1.2859463707736055e-08
CHS	6.748183334932456e-10	1.1505552006287852e-10	0.0696090102211788	1.8119955642689588e-10	0.34600778031510965	9.197441115331367e-11	9.837026007353468e-11	1.6641200439298244e-10	0.006811012923496461
JPT	6.867234293915691e-10	1.4970189275550636e-10	4.991607351144682e-10	1.4630379394998678e-10	1.143221934274396e-09	1.018106181032561e-10	1.3160799500938929e-10	3.748341318718879e-10	0.0035448175964107663
KHV	5.333713417080985e-10	8.215112764550252e-11	0.24963281485561814	2.4635391639346737e-10	0.15037633684686458	1.2570737608882775e-10	8.875246433146199e-11	2.0510101361647357e-10	2.3481089562886623e-09
CEU	0.2988222364419913	1.0845261769123649e-09	3.0630522613561566e-10	1.2173820265135397e-09	1.030089941084251e-10	3.500159429124805e-09	0.5014126250586991	9.604282234199365e-11	0.32756095153464315
FIN	0.06288404307557843	2.9142745092373754e-08	5.75312825402825e-10	6.400486165652774e-10	1.8493723027313287e-10	2.4056107857160415e-09	0.10124858029674089	5.193118613990067e-11	0.11105813803902441
GBR	0.16301197918917473	2.4041589420852084e-08	2.9642637812488943e-10	9.993750274270782e-10	1.2809421039903824e-10	0.037998265806492015	0.17868312546699136	1.0958541448311801e-10	0.18716088825373112
IBS	0.2313969977978213	3.976563853881174e-09	3.7741288765335575e-10	2.786844974647982e-09	1.0166613254610476e-10	0.12126522944496139	0.19971021316516102	0.0575728292863821	0.18549855755488376
TSI	0.19185440389610545	0.0049917659526525	2.966174213375064e-10	1.3321524939131563e-09	8.761077978780643e-11	0.5327502377676725	1.153535535755682e-09	0.47804540657854083	0.07645312616461251
BEB	7.716327228518677e-10	4.8803926311903e-10	0.015822946918969988	0.13321748515112705	2.433036469864575e-10	7.30401925795105e-10	1.0274963509834462e-10	1.511150171646859e-10	0.0193440599055861
GIH	8.35882263250387e-10	0.0261036214062829	1.5758215411683182e-09	0.11625075826466055	3.0602854718649836e-10	0.15399095430743692	7.484293726322039e-11	0.13225030193951615	1.0868919706557998e-09
ITU	5.514679792982973e-10	2.4096978457814196e-09	2.8932232259571045e-09	0.23180240220801976	1.9157844228367233e-10	0.029361395235475835	9.033430596974762e-11	0.06256200398898765	3.2992241459124094e-09
PJL	1.0812860693406169e-09	3.5543952663352796e-09	8.218646880649093e-10	0.12663998297122203	1.7855695414302184e-10	0.09619811515645785	1.437342106823249e-10	0.171954207714958	2.0218360580316898e-09
STU	4.760019410073603e-10	1.3797731082669734e-09	3.2952792383218964e-09	0.3806264379647022	2.2733793553253724e-10	1.7613898062542797e-09	6.96068208161778e-11	2.714342716162877e-10	1.2140962631731398e-09
