	ET1_1
ACB	1.3283165773035547e-09
ASW	5.4589745963200964e-09
ESN	2.0927898122155536e-09
GWD	1.1491465778961095e-09
LWK	0.01772851818311907
MSL	2.0886130825132807e-09
YRI	1.5879513921326458e-09
CLM	4.667821748219842e-09
MXL	3.930521935608875e-09
PEL	1.5133078720605624e-09
PUR	1.2628021744609925e-07
CDX	2.7906427035122814e-10
CHB	3.3242717282414145e-10
CHS	2.413645770990925e-10
JPT	3.067854889206e-10
KHV	2.8979016464725715e-10
CEU	4.350544225528789e-09
FIN	1.317553429064283e-09
GBR	1.096803082744603e-08
IBS	0.1284971114161867
TSI	0.5178799574248264
BEB	1.266258915535051e-09
GIH	0.138817359763051
ITU	0.006980191295518366
PJL	0.19009668950834005
STU	2.925858301400972e-09
