	ACB	ACB_BEB	BEB
ACB	0.4416852211147652	0.27360420173239947	1.6677577208514445e-09
ASW	2.1054344159326178e-09	4.847724536988382e-09	1.3337060232187697e-09
ESN	0.2619640119463828	0.1200866667837835	9.109896884325526e-10
GWD	0.08140624944681063	0.05422225175403482	1.5027183790675571e-09
LWK	0.025055135309465314	0.021031926341284465	1.2957062964060666e-09
MSL	0.04493305937898033	1.8992433635577988e-09	3.7132491174372906e-10
YRI	0.1449563297094011	0.041444903668790035	7.123024358726599e-10
CLM	-6.771888482584059e-10	5.849731953492576e-10	5.728589944145616e-10
MXL	-6.603897644308123e-10	0.010792712612075183	0.021475634516053214
PEL	-3.695198129846782e-10	1.121158686888879e-08	9.358398539587241e-09
PUR	-8.587136303949352e-10	2.526913111944574e-09	7.133453605891138e-10
CDX	-2.69363364370607e-10	2.389857952094826e-09	1.6806931648594145e-09
CHB	-2.840570496130411e-10	2.0017577177114234e-09	1.0458563204439916e-09
CHS	-2.6384060955916885e-10	0.011309050184745397	0.014389545043986667
JPT	-3.0219948696088885e-10	1.0247053316251296e-08	0.02001411366231162
KHV	-3.247034520612714e-10	1.7977730521629396e-09	0.001429895228131767
CEU	-2.4397057167385016e-10	5.062277034642164e-10	5.180808051975011e-10
FIN	-3.680556765895812e-10	5.385064203962263e-10	5.674234308774632e-10
GBR	-2.205750763790846e-10	5.81483572313463e-10	5.435257451723942e-10
IBS	-2.0790158589363256e-10	5.022844953041649e-10	5.30480857156911e-10
TSI	-2.6874360940002114e-10	3.7942683529494543e-10	4.821622092205489e-10
BEB	-6.587141819337672e-10	0.32749765854558177	0.6624215111513277
GIH	-6.439747916750032e-10	1.5380689097164828e-09	4.175678659322103e-09
ITU	-7.016773420086883e-10	3.3498139535060423e-09	5.821418921693542e-09
PJL	-7.042802378472848e-10	8.964824273646649e-10	1.0427578788786844e-08
STU	-7.228509470079336e-10	0.14001058257523838	0.2802692561682385
