	CHS	CHS_KHV	KHV
ACB	0.0009537830230540406	7.249636354760486e-07	5.468166180442227e-09
ASW	1.273179547197739e-08	1.2183791995224976e-08	0.010181329415330521
ESN	2.7329569297273352e-08	7.664293317415602e-09	3.313828873451759e-09
GWD	2.4174537051891933e-08	0.0056911178041587785	7.205661303252213e-09
LWK	3.65897161204983e-08	3.8876950570297584e-08	6.044283393098323e-09
MSL	2.1488995800213264e-08	6.621717298079345e-09	3.3610546421350777e-09
YRI	3.1401877963165124e-08	9.654725405599945e-09	3.819836205330947e-09
CLM	7.774112806279575e-09	4.147495400005805e-09	3.437190356469819e-09
MXL	1.4502515629316914e-08	1.6266809210738867e-08	4.803680531118495e-09
PEL	1.319249602522635e-08	2.573974080224465e-08	4.2360958135024825e-09
PUR	8.073820153674885e-09	4.094735921990256e-09	3.424229046409849e-09
CDX	0.1165852672646346	1.5150322383387772e-08	8.719808788533491e-10
CHB	0.33005093299061766	0.31252830009400556	1.1283745317395484e-09
CHS	0.5524096712882142	1.2123386105499437e-08	5.573110806064714e-10
JPT	5.939565740468205e-08	5.415626116946265e-09	8.01348223971561e-10
KHV	1.2039297685326843e-08	0.6817796559976472	0.9898185684833163
CEU	7.230654440926176e-09	3.1752786948555415e-09	3.038782229330034e-09
FIN	1.0617945960907604e-08	4.231744175559693e-09	2.4285835428109706e-09
GBR	7.470455732495075e-09	4.51132613752905e-09	7.82113783132928e-09
IBS	7.420166996172721e-09	3.2535856270362817e-09	2.8388393243936992e-09
TSI	6.121351387772267e-09	2.3113369226385456e-09	2.04741619165054e-09
BEB	8.612704037458714e-09	6.680686085774302e-09	6.7801006816951085e-09
GIH	7.667829728535334e-09	5.973941156766657e-09	1.3051036646088905e-08
ITU	8.867507058799893e-09	5.194040373268745e-09	4.322778586288816e-09
PJL	5.710213726186409e-09	2.6346977086875993e-09	2.5170568752564572e-09
STU	6.991145050779777e-09	5.233756061827806e-09	8.784023481857764e-09
