	CHS	CHS_PJL	PJL
ACB	3.2846667215126526e-09	5.567233041207732e-08	6.806566916041142e-08
ASW	2.926006908331618e-09	2.4140780529019645e-08	2.0558623763393762e-08
ESN	3.0533499661673485e-09	4.2346691130842694e-08	9.249678870939477e-08
GWD	3.0844535641585117e-09	5.398910083101371e-08	1.666798423752058e-07
LWK	3.199638873233695e-09	4.725601085372774e-08	4.2329960807600026e-08
MSL	3.706986065569491e-09	0.002309777936505003	0.007103892396111135
YRI	3.1751667297621095e-09	3.0329106863972885e-08	1.6527854940283033e-08
CLM	6.631670887218445e-09	3.801209212345736e-08	8.606910876655297e-09
MXL	1.8733023243951988e-08	0.0005066094435861917	9.31318904021428e-09
PEL	1.309546998488252e-07	1.0392806205782588e-06	6.245609595855522e-09
PUR	6.089988938271789e-09	2.684239163477418e-07	2.7109691986333544e-08
CDX	0.08999553386290532	2.4702031296194304e-07	6.9569378671335954e-09
CHB	1.2339326538823587e-08	4.072739733376244e-08	2.1365541960817302e-08
CHS	0.9086734000432789	0.46193255796806487	1.1595850289299418e-08
JPT	5.591044082903847e-09	1.4077588967244286e-08	9.781325345846316e-09
KHV	0.0013308206951681235	0.05456181602273198	1.3373108256653072e-08
CEU	5.656979920441754e-09	8.63756941207727e-08	2.8855236217740137e-08
FIN	5.365900674461784e-09	9.605013395246217e-08	5.54146743830676e-08
GBR	4.3573138179499075e-09	4.493855392912293e-08	9.265182276506985e-08
IBS	6.168495457237209e-09	0.016223383285594025	0.01206943619677028
TSI	3.786033273195532e-09	1.992663612850025e-08	1.3803702530157545e-08
BEB	3.347599173218594e-09	1.7006200901529412e-07	0.03904186299446725
GIH	3.1687747342806905e-09	0.024887737185168395	0.10049901640850513
ITU	3.5420812096238694e-09	8.086101631277621e-07	5.631280057771001e-08
PJL	3.837477244645923e-09	0.4104471030705429	0.7775498466766189
STU	3.3937511727044606e-09	0.029127887844118645	0.06373517729851094
