	FIN	FIN_CHS	CHS
ACB	2.0630038939641313e-09	9.730904436384872e-10	1.2311207638688849e-08
ASW	2.542092424785165e-09	1.165489022415622e-09	5.000230406163748e-09
ESN	1.2177081087650286e-09	6.709265084103863e-10	3.0169764682169955e-09
GWD	1.0998575013397712e-09	6.499806854193933e-10	4.801773434207371e-09
LWK	1.1021345772238832e-09	6.526281519197932e-10	6.641599321482503e-09
MSL	1.1660950514178372e-09	7.544266312717048e-10	1.8640297061434994e-08
YRI	1.2105031961215278e-09	8.141671104791896e-10	0.0009898982213672487
CLM	9.787891216288916e-09	1.9075128115635282e-08	5.30935601943575e-09
MXL	1.8408612151286973e-07	3.871608699702323e-09	1.1274424441323843e-09
PEL	0.004194982483206705	0.0015301208576506374	1.5566434486688904e-09
PUR	5.709015354494224e-09	1.873552004621018e-09	2.4493473596513287e-09
CDX	1.978293093810585e-09	1.1705979956737406e-09	1.148155068597559e-09
CHB	1.265821400601382e-09	1.928817420425429e-09	0.027884955637188548
CHS	1.9513756590261342e-09	0.4913828267808704	0.9682604103484541
JPT	1.556093081465286e-09	1.124867032740145e-09	3.877713511638941e-09
KHV	2.238882346096865e-09	1.993150519424603e-09	3.805339477070203e-09
CEU	9.302040347120945e-07	0.04356786378234982	0.0028646449270816727
FIN	0.9276267136350145	0.4635191310822271	6.576376105006763e-09
GBR	0.0017456505868559372	7.728505996911025e-09	3.550773023387937e-09
IBS	0.0664314815538271	1.0357009302731333e-08	2.4149070543536457e-09
TSI	7.53332559754574e-09	1.9060174124736384e-09	1.804769527373213e-09
BEB	1.5166190028047459e-09	1.8301356985693242e-10	1.4748638246005367e-09
GIH	1.914457137390822e-09	1.8814773577393012e-10	1.6407761778659052e-09
ITU	2.0418833287733905e-09	1.173765056041659e-10	1.3284685851122437e-09
PJL	3.5408830582664928e-09	2.2744750770382556e-10	1.378794226065915e-09
STU	6.021827542093122e-09	1.0497188922073586e-10	1.007169675123845e-09
