	GBR	GBR_GWD	GWD
ACB	1.2111506428878059e-09	2.2484634132451242e-08	8.491649795835005e-08
ASW	3.8862911811630496e-09	5.477764634717527e-08	6.115777273067541e-08
ESN	2.1447347117950957e-09	2.868588313323135e-07	1.610197498153523e-07
GWD	2.0253434819453317e-09	0.49793357646428854	0.9979623762658344
LWK	1.9939462142146626e-09	2.60599288734798e-08	7.239276822286041e-08
MSL	1.0651024507716885e-09	2.1888703232614163e-08	1.7240555782800305e-07
YRI	1.185852836698434e-09	1.968013769628514e-08	9.348402922278341e-08
CLM	0.0087202429312963	9.822917385726818e-08	4.513491745036442e-08
MXL	9.157544952877617e-09	6.330040746952158e-08	4.689619078635336e-08
PEL	1.986152708652038e-08	2.1982680758289504e-08	2.2523339985485655e-08
PUR	1.7031150018779564e-08	7.307969460367169e-08	6.187842577721072e-08
CDX	3.3702772615667123e-10	6.726123510547914e-09	2.7698782902316222e-08
CHB	4.783111795338925e-10	9.134032865980528e-09	2.4021700791099542e-08
CHS	4.4101884248669444e-10	1.580661086413141e-08	5.538489130978079e-08
JPT	3.9853903181733113e-10	1.2726283942285551e-08	4.397911854335653e-08
KHV	3.991427756300157e-10	1.338296393592554e-08	4.637815443334452e-08
CEU	0.06452258035439672	0.11867799561180523	8.359181718987252e-08
FIN	0.06893706685010356	0.043252551089281326	6.090358279588332e-08
GBR	0.6656593918219871	0.1913951562153982	4.7030647172110295e-08
IBS	1.7841935858444463e-09	6.044056482868841e-08	2.1209002570903026e-07
TSI	0.19216065334830712	0.14873984913108246	0.0020357071138791287
BEB	2.692661641048621e-10	1.186867090374585e-08	4.383620726380558e-08
GIH	2.4754670668283727e-10	1.662619271572432e-08	2.675634353533586e-07
ITU	2.0657274717811637e-10	9.65114880842246e-09	4.781192888022368e-08
PJL	4.0968405004851277e-10	1.7126188929538503e-08	7.490002254756313e-08
STU	1.7650102102931021e-10	9.676842091169399e-09	5.966329388877189e-08
