	IBS	IBS_ESN	ESN
ACB	1.4571219925001757e-08	5.13649838982456e-09	2.798930920197445e-09
ASW	1.423510380218609e-08	8.124693735583386e-09	4.584932577780724e-09
ESN	1.2356572347239744e-08	0.4656140999595218	0.973652424571425
GWD	1.7405415046556305e-08	1.0975210018518238e-08	7.329012466402594e-09
LWK	1.7329034544977385e-08	0.0012433795898478142	2.5198466775592353e-08
MSL	1.834164681007039e-08	0.03249001475903252	0.026347463075479007
YRI	1.5016199454689818e-08	1.0690038914120155e-07	6.209312376288876e-08
CLM	3.323277857897671e-08	7.280633430639171e-09	7.404412677717038e-10
MXL	1.5445694612016545e-08	2.469379907766954e-09	7.81653794453389e-10
PEL	1.642551749017669e-08	2.5800447889560846e-09	6.391514385924892e-10
PUR	6.764254979870964e-08	0.009612137507095582	7.026780174066168e-10
CDX	4.07009358512288e-08	2.6401379926857284e-09	5.882521166164876e-10
CHB	4.3287066300339444e-08	5.4601872765999976e-09	6.929064382951876e-10
CHS	2.6365958990556515e-08	2.2904274525288896e-09	6.179851148063014e-10
JPT	1.7675853965523237e-08	1.405418821478741e-09	5.454745508835685e-10
KHV	4.8919169501519374e-08	5.204185696099037e-09	6.964494928055697e-10
CEU	0.0040331143340944986	1.6935864654071645e-08	4.339367899067472e-10
FIN	5.98277859155773e-08	6.603520508512086e-09	4.916146270672028e-10
GBR	0.1447917596713351	0.08074509373361047	4.3902952698704317e-10
IBS	0.8511742726253845	0.4081323729460201	4.529534526003865e-10
TSI	2.0627956930034792e-07	0.0021626930226855026	3.962531038190679e-10
BEB	2.494501263224368e-08	4.7080595646374885e-09	3.671371279035536e-10
GIH	3.9271365404788246e-08	7.894333740249343e-09	3.235067262001454e-10
ITU	2.5638936089749168e-08	4.180016582233419e-09	5.058732039345117e-10
PJL	6.448136820666219e-08	5.9033004352941984e-09	4.6539493199110653e-10
STU	1.3990834520346595e-08	1.7968677673607289e-09	4.802259799196606e-10
