	IBS	IBS_YRI	YRI
ACB	2.9862096376708623e-09	0.03723753391543873	0.02352216044407439
ASW	2.568339155789971e-09	2.084776783252994e-07	0.029380298252904655
ESN	2.2950561091319202e-09	0.0066412465657479805	0.02396482699833863
GWD	2.7854959879392185e-09	0.00874634033473973	1.2009327218431775e-07
LWK	2.5775480210142706e-09	1.297568018893427e-07	1.931170104340703e-08
MSL	2.5032179649552556e-09	0.011105494976750839	0.020175132618744814
YRI	2.2969317886842036e-09	0.4308683580253239	0.9029574166266082
CLM	2.133390084310928e-08	1.9665062482208943e-07	1.4166528459376028e-09
MXL	9.336234068803689e-09	6.11652758092523e-08	1.253815985388233e-09
PEL	1.243874691797713e-08	4.129025139268315e-08	1.4703992539927636e-09
PUR	1.2662415586896187e-08	5.9292185067503796e-08	1.6375773491661228e-09
CDX	1.580127457465446e-09	1.5892018230498517e-08	1.1872182211341048e-09
CHB	1.9087782730075047e-09	1.6210387643273804e-08	1.6710373702941112e-09
CHS	1.7127597493401066e-09	1.5802515035478346e-08	1.5719132448575536e-09
JPT	1.991794681281693e-09	1.643544547282681e-08	1.8189275992148808e-09
KHV	1.649897352270206e-09	1.4096297057076326e-08	1.5333977783996834e-09
CEU	0.020214893242096073	0.0036061559697953723	1.3404485110358885e-09
FIN	0.03642398104078755	0.008101684448821698	1.2905553013536384e-09
GBR	2.07824375573968e-06	8.123707888986001e-08	1.3032752188426452e-09
IBS	0.8980466431589657	0.4330258330071478	1.3604315558568156e-09
TSI	0.04531214408278364	0.060666156013294927	1.2423650851025303e-09
BEB	2.331726033354827e-08	4.785635161608306e-08	1.1772872573972582e-09
GIH	4.5970889018541217e-08	7.149569482050533e-08	1.0904025888458837e-09
ITU	2.8939275647452113e-08	8.271128486637439e-08	1.1310172853833286e-09
PJL	6.279417367518688e-08	8.957425681692059e-08	1.1450671574584326e-09
STU	1.6655186530913782e-08	4.8804746537579874e-08	1.1202750478114785e-09
