	PJL	PJL_ITU	ITU
ACB	6.473307575589233e-09	4.466488895432492e-09	1.9361348117161935e-09
ASW	3.0892357869540886e-09	6.580478695005133e-09	7.233085831163888e-09
ESN	2.618769774894646e-09	3.1255473464221814e-09	1.926824392561668e-09
GWD	0.009039343876273918	0.0059321172566452925	2.7864838967563975e-08
LWK	5.749413533116253e-09	4.3331652638825015e-09	1.921671045960244e-09
MSL	3.4544430098532986e-09	7.825223206361888e-09	8.134678773747818e-09
YRI	5.415194205813398e-09	3.2644489551513606e-08	0.003260625205132057
CLM	1.7250792152150811e-09	3.7180350627534713e-09	5.316975269925197e-09
MXL	1.8282908668038108e-09	3.84462565834973e-09	7.747832666963987e-09
PEL	1.1699751903991767e-09	2.4965686754302003e-09	3.0463140230383205e-09
PUR	2.4940589790596098e-09	5.144317602200866e-09	1.1860738261143459e-08
CDX	0.005295471329676654	0.0211345303913208	0.006256353489798845
CHB	4.262391023720637e-09	0.001097745173469756	0.008254819980015787
CHS	4.226537052125932e-09	1.606593833305445e-08	9.341392646750354e-09
JPT	1.8427012787490204e-09	1.2445774921891966e-08	0.02486590008640358
KHV	3.5071581134885687e-09	3.855823421741499e-09	2.138575477249293e-09
CEU	0.137474996714134	0.07394998502528366	6.739157105172723e-08
FIN	6.4509229887912e-09	3.651360513887598e-08	1.6421054201686366e-08
GBR	8.272153942521208e-09	3.321928809146394e-08	0.01319450221968349
IBS	5.3922554648941735e-09	1.646813999099394e-08	5.598091348458397e-07
TSI	0.020321352445482197	0.010241631616759561	4.648494633168759e-08
BEB	0.0657114679924951	0.027649163414108738	2.8273216897120342e-08
GIH	0.22442952030895486	0.18286529477733293	0.13354098842730383
ITU	0.05066509341936142	0.40659280503507134	0.752661914674598
PJL	0.3558621226630359	0.20725905223074315	0.05796405715282817
STU	0.131200563283253	0.06327748233207732	3.191436510902353e-08
